wavelength_nm,primary_R,primary_G,primary_B,display_white,illuminant_E,illuminant_A,D65
648,0.154007,2.05857e-14,1.17729e-88,0.00330804,1,163.626,80.7613
649,0.130423,1.20395e-14,1.35825e-89,0.00280147,1,164.327,80.394
650,0.109673,7.00951e-15,1.54918e-90,0.00235575,1,165.028,80.0268
651,0.0915738,4.06256e-15,1.74681e-91,0.00196699,1,165.726,80.0456
652,0.0759227,2.34393e-15,1.94722e-92,0.00163081,1,166.424,80.0644
653,0.062503,1.34625e-15,2.14589e-93,0.00134255,1,167.121,80.0831
654,0.0510925,7.69733e-16,2.3379e-94,0.00109746,1,167.816,80.1019
655,0.0414709,4.38115e-16,2.51807e-95,0.000890787,1,168.51,80.1207
656,0.0334239,2.48239e-16,2.68124e-96,0.000717939,1,169.203,80.1395
657,0.0267485,1.40019e-16,2.82245e-97,0.000574552,1,169.895,80.1583
658,0.0212554,7.86209e-17,2.93726e-98,0.000456562,1,170.586,80.177
659,0.0167713,4.39464e-17,3.02191e-99,0.000360245,1,171.275,80.1958
660,0.01314,2.44535e-17,3.07359e-100,0.000282244,1,171.963,80.2146
661,0.0102223,1.35455e-17,3.09054e-101,0.000219574,1,172.65,80.4209
662,0.00789648,7.46934e-18,3.07219e-102,0.000169615,1,173.335,80.6272
663,0.00605683,4.10019e-18,3.01915e-103,0.0001301,1,174.019,80.8336
664,0.00461302,2.24057e-18,2.93324e-104,9.90869e-05,1,174.702,81.0399
665,0.00348862,1.21885e-18,2.8173e-105,7.4935e-05,1,175.383,81.2462
666,0.0026197,6.60043e-19,2.67512e-106,5.62706e-05,1,176.063,81.4525
667,0.00195333,3.5582e-19,2.51118e-107,4.19572e-05,1,176.741,81.6588
668,0.0014462,1.90951e-19,2.33044e-108,3.10642e-05,1,177.419,81.8652
669,0.00106319,1.02011e-19,2.13807e-109,2.28372e-05,1,178.094,82.0715
670,0.000776107,5.42511e-20,1.93923e-110,1.66706e-05,1,178.769,82.2778
671,0.000562549,2.87212e-20,1.73885e-111,1.20834e-05,1,179.441,81.8784
672,0.00040488,1.51367e-20,1.54141e-112,8.69676e-06,1,180.113,81.4791
